2678,"高抛，换000717韶钢股份，刚脱离底部涨幅不到10%，18跌到1.8准备撤退了，上证2160第一目标已经实现接下来要调整了，换小盘重组股云维股份，云南煤业入主承诺到期了四大凶股你有几？？601919从68到3.00000717从18到1.80600096从70到7.00000792从102到15.5A股氢燃料电池概念股：600096【增发】云天化｜增发年度 ｜增发方案 ｜｜2013-12-31 ｜进度说明:已实施 ｜｜ ｜发行方式:非公开增发 ｜｜ ｜实际增发数量:975034018 ｜｜ ｜增发价格:14.1元 ｜｜2011-12-31 ｜进度说明:已实施 ｜｜ ｜发行方式:非公开增发 ｜｜ ｜实际增发数量:103513229 ｜｜ ｜增发价格:17.93元 ｜氢燃料电池概念再添“新贵”证券时报记者从国家知识产权局了解到，云天化全资子公司云南云天化国际化工有限公司申报的“一种硫化氢及工业尾气制氢的方法”(专利号：CN201010155397.3)已由知识产权局授权。专利摘要显示，本发明首创性地提出磷肥与氮肥工业之间的硫、氢循环经济解决方案，也为氢能的生产提供了一种新的原料来源。市场人士分析，推广氢燃料汽车主要需要解决大量制取廉价氢气的方法，传统的电解方法价格昂贵，且耗费其他资源，无法推广。云天化此次制氢专利为氢能的生产提供了一种新的原料来源，云天化沾上氢气制备概念，有望得到资金热捧，对公司股价形成提振。值得提及的是，云天化国际是云天化2012年定向增发注入的优质资产，发行价格为14.30元/股，此批增发股将于今年5月解禁，与云天化现价倒挂明显。请问航运股和造船股应该哪个先复苏？A股远洋最高价69.00，最低2.80，现价3.45601919股价一向是600026的1.5倍，601919一向是HK01919的1.6倍601919业绩每股收益一向是601168西部矿业的4倍601919股价一向是601872招商轮船的4倍，601866中海集运的5倍601919业绩和股价一向是000898鞍钢股份的两倍远洋A股=H股*1.6港股远洋最低2.7，最高40.00.A股=H股*1.6601919=1919*1.6=4.02*1.6=6.4远洋股价相当于大盘上证指数280点。大盘最高6124点，1919最高68.00元601919合理股价=上证指数/100+10%合理股价排名第二熊股的鞍钢已经反转了，远洋还会远吗000898从35.00跌倒2.50，现在3.01元，业绩最好时每股收益1.00元/股601919从69.00跌倒2.70，现在2.75元，业绩最好时每股收益3.00元/股关于中国远洋 股价的理解【置顶】BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:1100点:6.80元:4.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:2200点:13.60元:8.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:3300点:20.40元:12.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:4400点:27.20元:16.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:5500点:34.00元:20.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:6600点:40.80元:24.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:7700点:47.60元:28.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:8800点:54.40元:32.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:9900点:61.20元:36.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:11000点:68.00元:40.00港元（BDI的历史高点为2008年5月20日的11793点）07年10月远洋H股最高40.8港元,A股68.4元,BDI指数约11000点在过去4年的约1000个交易日内有900天基本如此,正负误差不过10％为啥68.4时应该卖出远洋;而6.84时应该卖入远洋.中国股市必须和投资思路反着做才能赚到真金白银！【中国远洋】68.4时业绩巨盈时就卖出它,,,,,赌,,,,,场内机构帐面获巨利后套现派发开溜6.84时业绩巨亏时就买进它,,,,,赌,,,,,场外机构趁机偷吸割肉筹码悄悄进场中国股市必须投机才能赚到真金白银！必须和投资思路反着做！！.............................................................................................................看到现价很多300系列公司就使我想起3年多前68.4元/股的中国远洋基因和潜质，要破财就把精力集中在现价中小市值股上吧！::创业板中小板股价（它门还刚刚从头部下来到脖子的位置,,离腰和大腿还远着呢）【要求不高】近三百家的创业板股票中至少要出现30家以上股价双对折的股票,才能谈其板块中期见底!创业板指1239点即使不是十年巨顶 ,也必是3&quot;5年的大顶;在中国这个投机泡沫市中,一但此板块指数现大顶,接下来不向下一半以上,咋么可能见大底呢??中国远洋601919半年报亏损该退市了中国远洋处于一个大级别行情的底部随着集装箱行业的复苏，干散货迟早也会复苏。海运业是经济周期的先行指标而且是最反映基本面情况的。远洋现在的形态类似于05年底的很多蓝筹股，业绩不差，但是就是不涨，而且成交量稀少，稍微来点量，就能造成影响。散户在这股上基本没有脾气，就是不断的被收割。现在可能在形成大头肩底的右肩部位，一旦再次突破年线，则确立趋势。今日的跳空，只要本周没有补，就更加确定未来趋势。大蓝筹的大型底部，不会是惊心动魄的拉涨，而只会犹犹豫豫，不知不觉中不断波段抬高底部，不会有涨停，甚至5％以上的都少见。但是你会发现，过了两个月，原来站在年线上了，再过两个月，你发现怎么就从底部上来一倍了。这就是大底部的情况，很多人涨起来，才知道，原来现在有行情了，而这时候，你也该被套了。超级中石油：中国远洋（601919）BDI狂升＋油价跳水＋严重低估＋央企重组=601919回到68.00从68.00元跌下来，最低8.00元，现在8.50.00元，真是垃圾！中国远洋（601919）竟然30.00元定向增发基金抢吼，奇怪！跑啊中国远洋处于一个大级别行情的底部， 随着集装箱行业的复苏，干散货迟早也会复苏。海运业是经济周期的先行指标而且是最反映基本面情况的。601919，600026业绩比中国船舶有优势航运恢复最好时601919可EPS达3.00元，600150可EPS达6.00元！600150现在股价是601919的7倍。西部矿业上天了中集集团当仙了就剩下601919中国远洋成精了601919，600026业绩比中国船舶有优势航运恢复最好时601919可EPS达3.00元，600150可EPS达6.00元！600150现在股价是601919的7倍。别听某些基金忽悠请问航运股和造船股应该哪个先复苏？两市跌得最狠的股票：601919绝对排第一！（新股小盘股ST风险太大）601919中国远洋最高68.00，现价7.98！超级中石油：中国远洋（601919）横了14个月该竖14个月了中国远洋（601919）从68.00元跌下来，最低8.00元，现在11.00元，市值比有些创业板还小，真是垃圾！中国远洋（601919）竟然30.00元定向增发基金抢吼，奇怪！跑啊回调即低吸股票底部在7块多，10年虽然只有0.60---0.70但股价已充分体现，公司未来盈利比较确定，2013年经济全面恢复业绩可达2.00元。11块里可以逐步建仓，一旦打开上升通道就耐心持有，获利会比西部矿业，中集集团，振华重工这几只股票大。601919高点比中石油高（68.00）！竟跑不赢中石油！看你横盘多久？（已经14个月了）601919是垃圾如何从68.00到10.00？跑不赢西部矿业、中国铝业，中国石油，你应该破腹谢罪1股000039=2.5股601919（601919横盘1年多）601919最高68.00000039最高点才36.00我鞍钢脱离底部，西矿还会远吗？可燃冰概念股600168从68跌到5.50！西部矿业(601168)可燃冰新材料发掘大有可为西部矿业（601168）：我国在青海省祁连山南缘永久冻土带成功钻获天然气水合物（可燃冰）实物样品，成为世界上第一次在中低纬度冻土区发现天然气水合物的国家。我国是世界上第三冻土大国，冻土区总面积达215万平方公里，具备良好的天然气水合物赋存条件和资源前景。据科学家粗略估算，远景资源量至少有350亿吨油当量。青海省政府与中国海洋石油总公司在2010年6月签署了《资源合作战略框架协议》。根据此协议，由青海省发改委牵头，中国海洋石油公司、青海省发展投资公司、青海西部矿业集团、中国煤炭地质总局青海煤炭地质局四家单位正积极联合成立可燃冰研究中心。可燃冰项目就是股份公司发现和开采的。到底谁是锂业巨头啊，资料供参考锂对国民经济和国家安全具有重要意义,是21世纪的能源金属。近10年,中国主要从国外进口碳酸锂产品。中国是一个多盐湖的国家,盐湖锂占锂资源工业总储量的85%。现代第四纪盐湖主要分布在我国西北的青海、西藏、新疆和内蒙古四省区,具有很好的开发前景。经过多年科研后,目前国内已经在西台吉乃尔和扎布耶两个盐湖建立了卤水提锂产业。本文对比研究了这两个盐湖资源状况和地理气候条件,以及由此而决定的盐湖资源开发工艺流程,探讨了其工艺优化方向。并指出这两个盐湖具有锂资源储量大,品位高的优势,但是受盐湖类型或地理气候条件限制,工艺上有待改善。建议继续加强对盐湖开发技术优化和对盐湖提锂产业的扶持。盐湖股份（000792） 察尔汗盐湖总面积为5856平方公里，是中国最大的可溶性钾镁盐矿床。湖中蕴藏着极为丰富的钾、钠、镁、硼、锂、溴等自然资源，总储量为600多亿吨，其中仅氯化钾表内储量为5.4亿吨，占全国已探明储量的97％；氯化镁储量为16.5亿吨，氯化锂储量800万吨。在200吨碳酸锂实验取得成功的基础上，集团与核工业北京冶金化工研究院合作，投资5.33亿元建设年产1万吨碳酸锂项目，组建了青海盐湖蓝科锂业股份有限公司。吸附法—卤水提锂技术是新工艺新技术，具有针对性和独特性，该技术达到了国际水平，锂回收率达到70％以上，产品纯度达到99％。2009年进入投料试车。在1万吨碳酸锂项目成功运行基础上，拟及时扩建适当规模的碳酸锂项目，并就氯化锂、钴酸锂、金属锂、锂电池等下游系列产品进行开发和研究，争取在较短时间内延伸锂产业链，并形成一定的经济规模。青海谋划打造中国锂都青海盐湖工业集团与广东佛山照明公司日前签署合作协议，双方将在盐湖资源的综合利用、电池级碳酸锂产品开发、市场销售及售后服务等方面展开全面合作，以打造“中国锂都”。青海省盐湖资源储量大，品位高，类型全，资源组合好，已初步探明氯化锂储量有２０１８万吨，储量居全国第一位，占全国已探明储量的９０％以上，占世界盐湖锂资源储量的１／３。近年来，随着锂电池的开发及新兴领域的发展以及高油价提升了新型动力汽车的迫切性和经济性，国际市场对碳酸锂需求量日益增长。据青海盐湖工业集团股份有限公司副总经理张生顺介绍，迅速增长的消费需求要求有与之相适应的产能，但我国目前采用的碳酸锂提取技术无法形成工业化大规模生产，而且由于纯度原因，目前自产的原材料只能供应一些对纯度要求不高的市场，限制了效益的增长。此次与佛山照明公司合作，意在共同开发青海的锂资源，提高锂资源的利用率。盐湖集团(000578)：察尔汗盐湖氯化钾表内储量为5.4亿吨，占全国已探明储量的97%；氯化镁储量为16.5亿吨，氯化锂储量800万吨；集团投资5.33亿元建设年产1万吨碳酸锂项目，锂回收率达到70%以上，产品纯度达到99%。锂业巨头000792盐湖股份国际钾肥涨价了000792盐湖股份记得氯化钾08年涨到5500元/吨，5年后每股收益可达到8元/股，合计15元股价市盈率才2倍KCL 5500元/吨 成本1500元/吨 每吨利润4000元/吨年销量300万吨左右年利润：300万吨*4000元/吨=1200000万元即120亿元每股收益：120亿元/16亿股本=8元/股市盈率：15元/8元=2倍柴达木盆地将成我国最大锂电池原料基地发布时间： 2009年05月19日 15:01 来源：中投顾问　 【字体：大 中 小】据中投顾问汽车行业分析师李胜茂指出，常规来说，新能源汽车产业链大致分3个环节：上有有色金属原材料，中有车载动力电池材料供应商和电池生产商，下有整车厂商。因有色金属资源具有极强的地域性，因此，在产业链上来看，新能源汽车产业的上有色金属企业将会非常集中。锂电产业属于新能源、新材料的新兴产业，世界各国都很重视，尤其是动力锂电池更备受关注。锂电上产业主要是天然矿产资源，包括钴、镍、锰、磷、铁、锂及各种化合物，其中尤以钴和锂用量最大，但它们在自然界中储量有限，属于稀缺资源。据中投顾问发布的《2008-2010年中国新能源汽车产业分析及投资咨询报告》指出，到2012年，国内有10％新生产的汽车是节能与新能源汽车，按届时汽车年产辆为1000万辆算，我国新能源汽车要达到年产100万辆的规模。中投顾问李胜茂指出，每辆新型动力汽车预计需要0.08吨左右的碳酸锂，一旦动力锂电池大规模应用在新能源汽车上，碳酸锂的市场潜力将十分巨大，预计到2012年仅新能源汽车对碳酸锂的需求每年就将达到5万吨以上。据中投顾问汽车行业分析师李胜茂介绍，在自主研发盐提锂、提镁技术及生产工艺的基础上，我国一些大型工业企业近几年来在柴达木盆地深处开始建设碳酸锂、氢氧化镁等化工产品生产基地。目前国内生产碳酸锂的企业主要集中在西藏矿业、中信国安、青海盐集团这三家公司，而这三家公司的镁、锂矿产均集中在柴达木盆地。资料显示，地处青海高原腹地的柴达木盆地富含有钾、钠、镁、锂、硼等矿产资源，其中氯化镁31亿吨，约占全国保有储量的99％;氯化锂近1400万吨，占全国保有储量的83％。中投顾问李胜茂预计柴达木盆地将成为我国最大的动力锂电池原料供应基地，未来我国车用锂电池碳酸锂原材料需求将得到有效地保障。为了综合利用盐镁、锂等资源，“十一五”期间盐工业集团公司将投资建成年产10万吨无水氯化镁、1万吨碳酸锂等项目，打造现代高科技盐化工基地。",高抛，换000717韶钢股份，刚脱离底部涨幅不到10%，18跌到1.8,None,章源钨业,0
2924,"内蒙古的票就是厉害!每一个股票都非常自信,自己做自己的,不受外界的丝毫干扰,不与任何板块,任何概念,任何资金挂钩,太厉害了!让人敬畏!","内蒙古的票就是厉害!每一个股票都非常自信,自己做自己的,不受外界的丝毫干扰",None,金河生物,2
2926,"这么多人反对金河,庄家肯定不会在近期拉升了,换位想想,被别人骂着还让别人挣钱,脑子肯定有毛病,还更让别人看不起!","这么多人反对金河,庄家肯定不会在近期拉升了,换位想想,被别人骂着还让别人挣钱,脑子肯",None,金河生物,2
1986,今天煤炭股就这破股绿色,此股玩完了，开跌。,None,美锦能源,0
1987,近期大盘罕见连续暴涨，牛市来了，别让恶庄把筹码骗走了，让他打压吧，牛市来了小散都可以把的子弹抢光,大盘连续暴涨，牛市来了，,None,三力士,1
3216,如题,要下的请快下车，上来的请坐稳了，空中加油即将完成，马上要启动了！,None,福建高速,1
3217,今天大盘不错！解套就行，主力行行好吧！,今天大盘不错！解套就行，主力行行好吧！,None,华数传媒,1
1982,原来的帖回复不了，只好用原标题.江中17元还需放大量高换手.套牢筹码太多.冲过17看高19观点不变.上周又筹资5万打新股.江中市值8万多.今天很开心中了二个新股川议1个中材1个.康尼申购8个号没中.川议19775688起2个号.中材15950439起8个号.  江中上周卖了500股凑钱打新.,江中还未走出下降通道,None,江中药业,0
3211,长长上吊线，害死多少人，主力发上吊绳给你们，有多少人望外出。,长长上吊线，害死多少人，主力发上吊绳给你们，有多少人望外出。,None,奇正藏药,0
1637,不吹不会死的，越吹死得越快,福建厦门对它没关系，更何况平潭了，不要天天在吧里吹了,股东,建研集团,0
1638,伟星就和13年10月的走势一样，还要跌30%，等跌了再买吧，股是个好股,伟星就和13年10月的走势一样，还要跌30%，等跌了再买吧,None,伟星新材,0
1639,周线不错了。日线要折腾几天,自己买自己卖，倒腾啥哦,None,胜利精密,2
1988,银行一涨其他股都怕 758还能坚持多久 怕是今天横着出货,银行一涨其他股都怕 758还能坚持多久 怕是今天横着出货,None,红阳能源,0
1989,886,都散了吧,None,江淮汽车,0
569,真服你了。,又整个倒数第一。,None,金证股份,0
2816,这种价位，压抛下来的筹码，只要上証指数不破2000点，或左右，主力二个涨板都不一定能再拿得到，砸个跌停，散户都笑死了，这不是割的肉，是正宗的火蹆呀，,090。啤酒花周线一看，相信你一切都会清楚了,股东,啤酒花,0
2811,小鸡长大不是梦。,这下小鸡可接长了。不再做太监。,None,黑化股份,1
2813,什么重组，什么石墨烯，都他妈的骗人，没一个说真话的，马上就要跌，马上就退市，马上就……大伙儿干嘛老想着好事儿来的？,500手出尽，总算是解套了。,None,黑化股份,0
561,顺其自然,我没有抛!你呢?,None,国电南瑞,1
2819,该旅游的去旅游吧该娶媳妇的娶媳妇吧该生娃娃的就生吧该干嘛干嘛吧,都散了吧，该干嘛干嘛、、、停牌无期限,None,有研新材,0
565,S佳通军工股中的战斗机 航空轮胎佳通制造收藏本帖 回复主题佳通轮胎 银川工厂专业生产航空轮胎附简介： 银川佳通轮胎公司由银川佳通长城轮胎有限公司和银川佳通轮胎有限公司组成，银川佳通长城轮胎有限公司是新加坡佳通集团与银川橡胶厂组建的合资企业。至今已有40年的轮胎生产历史，银川佳通轮胎有限公司是由新加坡佳通集团和银川（长城）轮胎有限公司组建的合资企业。银川佳通轮胎公司是西北地区最大的轮胎专业制造厂、大型航空轮胎骨干生产厂及国内唯一航空轮胎翻新企业，国家大型一档企业。公司建有大跨度、全封闭一体化生产厂房，并从德国、美国、荷兰等引进GK450密炼机、钢丝帘布压延机、复合压出机、四工位自动成型机、X光检测机、门尼粘度检测仪等关键生产及检测设备，采用能适应国内使用条件的最新全钢子午胎技术，使生产流水线整体上达到国内一流、国际先进水平。　　公司固定资产原值15.52亿元，拥有全息照相、X光机、F270密炼机、进口成型机等整套先进的轮胎生产和检测设备，技术力量雄厚。公司产品主要包括工程轮胎、载重轮胎、轻卡轮胎、农用轮胎、航空轮胎、航空翻新轮胎和半钢子午线轮胎、全钢子午线轮胎等品种。公司目前具有年产各类尼龙斜交胎200万套、半钢子午胎150万套、全钢子午胎100万套的生产能力，随着子午胎改造项目的实施，最终生产能力将达到600余万条/年。公司高度重视产品质量，产品检验严格执行欧洲ECE和美国DOT安全标准。“银轮牌”及佳通品牌全钢子午胎投入市场后，立即获得国内外广大用户的认可，成为最受欢迎的轮胎品牌之一。公司产品的注册商标“长城牌”是宁夏回族自治区著名商标。长城牌轮胎连续多年被评为自治区名牌产品，是全国著名轮胎品牌，畅销全国各省、市、自治区。　　公司通过了ISO9001（2000版）质量体系认证、ISO14001环境管理体系认证和轮胎产品强制性安全认证（3C认证），民用轮胎系列获美国交通部DOT安全认证，子午胎获欧洲E-mark认证，11个规格航空轮胎获中国航空总局CCAR-TSOA适航认证。　　合资公司将以一流的装备、一流的技术、 一流的管理、一流的产品、一流的服务满足中外广大客户的需要。安徽佳通：佳通在中国投资的第一家也是规模最大的轮胎制造工厂，成立于1993年，位于合肥经济技术开发区，集研发及供应链中心于一体，生产适用于各种车型及路况的轮胎。福建佳通：成立于1995年，主要生产半钢子午胎及全钢子午胎。重庆佳通：收购于2002年，主要生产全钢子午胎。银川佳通：收购于2002年，主要生产全钢子午胎及斜交胎，也是中国三大飞机轮胎制造及翻新工厂之一。,S佳通军工股中的战斗机 航空轮胎佳通制造,None,S佳通,2
